PartyName,PartyNameEnglish,Abbreviation,EstablishmentDate,MemberCount,Leadership,EstablishmentApprovalDate,RegistrationApplicationDate,RegistrationApprovalDate,ApprovedPartyNumber,PartyFlag,PartySeal,Chairman,Region,Headquarters,Contact,Policy
မြိုတိုင်းရင်းသားဖွံ့ဖြိုး​ရေးပါတီ,Mro National Development Party,MNDP,,,ဦးစံသာအောင်၊ ဦးလာဘွေ,,9.4.2010,28.4.2010,1,https://storage.googleapis.com/staticassets/political/1-flag.jpg,https://storage.googleapis.com/staticassets/political/1-logo.png,ဦးစံသာအောင်၊ ဦးလာဘွေ,ရခိုင်ပြည်နယ်နှင့် ချင်းပြည်နယ် ပလက်ဝမြို့။,အမှတ်(၂၀၂)၊စာတိုက်လမ်း၊ပြည်တော်သာ ရပ်ကွက်၊ ကျောက်တော်မြို့နယ်၊ရခိုင်ပြည်နယ်,09-421734508(ဥက္ကဌ) ,http://uecmyanmar.org/images/stories/policals_policies/1%20Mro%20or%20Khami%20National%20Solidarity%20Organization.pdf
တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,National Unity Party,,,,ဦးထွန်းရီ၊ ဦးသန်းတင်,,29.3.2010,29.4.2010,2,https://storage.googleapis.com/staticassets/political/2-flag.png,https://storage.googleapis.com/staticassets/political/2-logo.jpg,ဦးထွန်းရီ၊ ဦးသန်းတင်(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ် (၂၄)၊ အောင်ဇေယျလမ်း၊ ရွှေတောင်ကြား(၁)ရပ်ကွက်၊ ဗဟန်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး,"09-421109550, 01-537601, 01-557480, 01-554219(ဖက်စ်)",http://uecmyanmar.org/images/stories/policals_policies/2/2.1.pdf
လားဟူအမျိုးသားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,La Hu National Development Party,,,,ဦးကျဟားရှဲ၊ ဦးယောသပ်,,23.4.2010,29.4.2010,3,https://storage.googleapis.com/staticassets/political/3-flag.jpg,https://storage.googleapis.com/staticassets/political/3-logo.jpg, ဦးယောသပ်၊ ဦးသက်ဝင်း(ထွေ/မှူး),ရှမ်းပြည်နယ်အတွင်း,အမှတ်(၄၃)၊ လမ်းသွယ်(၄)၊ ပါရမီလမ်း၊ ရပ်ကွက်(၁)၊ လားရှိုးမြို့၊ ရှမ်းပြည်နယ်။    ,"09-49219672(ဦးယောသပ်), 082-22713, 082-231-6",http://uecmyanmar.org/images/stories/policals_policies/3La%20Hu%20National%20Development%20Party.pdf
ကိုးကန့်ဒီမိုကရေစီနှင့်ညီညွတ်ရေးပါတီ,Kokang Democracy and Unity Party,,,,ဦးလော်ဆင်ကွမ်း၊ ဦးခင်မောင်အေး,,30.4.2010,7.5.2010,4,https://storage.googleapis.com/staticassets/political/4-flag.jpg,https://storage.googleapis.com/staticassets/political/4-logo.jpg,ဦးထွန်းနိုင်၊ ဦးဇော်ထွန်း(တွင်း/မှူး-၁)			,ရှမ်းပြည်နယ်အတွင်း,အမှတ်(၂၆)၊ မြဝတီလမ်း၊ နယ်မြေ(၅)၊   ရပ်ကွက်(၁)၊လားရှိုးမြို့၊ ရှမ်းပြည်နယ်။,"09-5262195(ဦးလော်ဆင်ကွမ်း)၊ 09-6700971, 082-24627(ဖက်စ်)",http://uecmyanmar.org/images/stories/policals_policies/4Kokang%20Democracy%20and%20Unity%20Party.pdf
ပအိုဝ်းအမျိုးသားအဖွဲ့ချုပ်(PNO)ပါတီ,Pao National Organization,PNO,2.4.2010,15,ဦးစံလွင်၊ ဦးဝင်းကို,23.4.2010,6.5.2010,13.5.2010,5,https://storage.googleapis.com/staticassets/political/5-flag.png,https://storage.googleapis.com/staticassets/political/5-logo.jpg, ဦးစံလွင်၊ ဦးခွန်သိန်းဖေ,ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၁၈)၊ အနောက်မြို့ပတ်လမ်း၊ စျေးပိုင်းရပ်၊ တောင်ကြီးမြို့၊ ရှမ်းပြည်နယ်။,09-49363282,http://uecmyanmar.org/images/stories/policals_policies/5Pao%20National%20Organization%20PNO.pdf
ဒီမိုကရက်တစ်ပါတီ(မြန်မာ),Democratic Party(Myanmar),,30.3.2010,20,ဦးသုဝေ၊ ဒေါ်သန်းသန်းနု,29.4.2010,11.5.2010,20.5.2010,6,https://storage.googleapis.com/staticassets/political/6-flag.jpg,https://storage.googleapis.com/staticassets/political/6-logo.jpg,ဦးသုဝေ၊ ဒေါ်သန်းသန်းနု(တွင်း/မှူးချုပ်),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၄၆၅)၊ သိမ်ဖြူလမ်း၊ ဖို့မြေရပ်ကွက်၊ မင်္ဂလာတောင်ညွန့်မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-8020254, 01-541649(ဒေါ်သန်းသန်းနု), 09-5084963",http://uecmyanmar.org/images/stories/policals_policies/6Democratic%20Party%20Myanmar.pdf
ကယန်းအမျိုးသားပါတီ,Kayan National Party,,26.4.2010,17,ဦးခူးယူဂျင်း၊ ဦးလောရင်း,4.5.2010,11.5.2010,20.5.2010,7,https://storage.googleapis.com/staticassets/political/7-flag.jpg,https://storage.googleapis.com/staticassets/political/7-logo.jpg,ဦးခူးယူဂျင်း၊ ဦးနန်းရီ(ထွေ/မှူး) ,ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(ည/၁၂၅)၊ သိုင်းဗဟန်လမ်း၊ ညောင်ကုန်း (၃)ရပ်ကွက်၊ ဖယ်ခုံမြို့၊ ရှမ်းပြည်နယ်။    ,081-56153(ဦးခူးယူဂျင်),http://uecmyanmar.org/images/stories/policals_policies/7Kayan%20National%20Party.pdf
ရခိုင်ပြည်နယ်အမျိုးသားအင်အားစုပါတီ,Rakhine State National United Party,,28.4.2010,15,ဦးအေးကြိုင်၊ ဦးတင်မြင့်,4.5.2010,11.5.2010,20.5.2010,8,https://storage.googleapis.com/staticassets/political/8-flag.jpg,https://storage.googleapis.com/staticassets/political/8-logo.jpg, ဦးအေးကြိုင်၊ ဦးမောင်အုံးတင်(တွဲ-တွင်း/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၅၄)၊ (၁၄/၂)ရပ်ကွက်၊ ရွှေပြည်စိုးလမ်း တောင်ဥက္ကလာပမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး     ,"09-421095833(ဦးအေးကြိုင်), 09-420104245(ဦးညီညီ)",http://uecmyanmar.org/images/stories/policals_policies/8%20Rakhine%20State%20National%20United%20Party%20of%20Myanmar.pdf
ကရင်ပြည်သူ့ပါတီ,Kayin Peoples Party,KPP,31.3.2010,16,ဦးထွန်းအောင်မြင့် ၊ ဦးစောစေးဝါး(ထွေ/မှူး),29.4.2010,12.5.2010,21.5.2010,9,https://storage.googleapis.com/staticassets/political/9-flag.jpg,https://storage.googleapis.com/staticassets/political/9-logo.jpg, ဦးထွန်းအောင်မြင့် ၊ ဦးစောစေးဝါး(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၆၃၂)၊ ဃ/၁၆၊ အာဇာနည်လမ်း ၊    အမှတ်(၄)လမ်းမဆုံ၊ ရပ်ကွက်(၅)၊ ရွှေပြည်သာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-5180164, 01-611612",http://uecmyanmar.org/images/stories/policals_policies/9Kayin%20Peoples%20Party%20KPP.pdf
“ဝ”အမျိုးသားစည်းလုံးညီညွတ်ရေးပါတီ,Wa National Unity Party,,29.4.2010,15,ဦးလုပ်ပေါင်း၊ ဦးညီပလုပ်,4.5.2010,12.5.2010,21.5.2010,10,https://storage.googleapis.com/staticassets/political/10-flag.jpg,https://storage.googleapis.com/staticassets/political/10-logo.jpg,ဦးညီပလုပ် ၊ ဦးဂျိုးဇက်ထွန်း(တွင်း/မှူး-၁),ရှမ်းပြည်နယ်အတွင်း,အမှတ်(၃၆)ဗျူဟာလမ်း၊ နယ်မြေ(၂)၊ (၁)ရပ်ကွက်၊ လားရှိုးမြို့၊ ရှမ်းပြည်နယ်။      ,"09-403742540(ဦ:ဆမ်ဆောင်ကား), 09-5260319, 082-22229, 09-5260293, 082-22713",http://uecmyanmar.org/images/stories/policals_policies/10/10.1.pdf
